,Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF ,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,LongevidadeIDHM,AlfabIDHM,RendaIDHM
0,350270505000001,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,0.8,0.9701943638079540,0.6062034499499550
1,350270505000002,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,0.85,0.9719202898550720,0.6714547191726980
2,350270505000003,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,0.9333333333333330,0.9756728061671980,0.778504465475375
3,350270505000004,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,0.8,0.9397452788757140,0.8083762202989010
4,350270505000005,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,0.8166666666666670,0.968134242187209,0.5458055429719710
5,350270505000006,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,1.0,0.8080808080808080,0.6755439931184070
6,350270505000007,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,0.8166666666666670,0.9701036552100380,0.6094592998907200
7,350270505000008,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,0.8666666666666670,0.963742502142245,0.6015784810359540
8,350270505000009,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,0.8666666666666670,0.9965277777777780,0.750551832285038
9,350270505000010,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,0.7333333333333330,0.9475643058491900,0.5036848655413970
10,350270505000011,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,0.85,0.9380407695014440,0.6153657811618850
11,350270505000012,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,0.7333333333333330,0.9516408608433150,0.44937943917435300
12,350270505000013,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,0.8,0.9623266607745540,0.5965319143924930
13,350270505000014,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,0.85,0.9596056590487160,0.7710091647462730
14,350270505000015,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,0.85,0.9587878787878790,0.5609043672430810
15,350270505000016,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,0.85,0.9904761904761910,0.7018221679689490
16,350270505000017,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,0.8333333333333330,0.9285404734296120,0.5573012739249680
17,350270505000018,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,0.8166666666666670,0.9661332819227560,0.5445193065320230
18,350270505000019,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,0.8166666666666670,0.9774074074074070,0.6295602476790870
19,350270505000020,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,0.95,0.9966666666666670,0.7949686336724620
20,350270505000021,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,0.75,0.9692671394799050,0.5721611500659390
21,350270505000022,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,0.75,0.9820576045328160,0.6063714602215920
22,350270505000023,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,0.8666666666666670,0.9728615991988880,0.49478993534556500
23,350270505000024,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,0.85,0.9510336602173340,0.48988537033489000
24,350270505000025,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,0.9333333333333330,0.9907834101382490,0.7010683207155820
25,350270505000026,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,0.7833333333333330,0.9331813768941790,0.4990322862600660
26,350270505000027,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),1,0,0.8,0.9593428014480650,0.5980963343736380
27,350270505000028,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),8,0,0.8666666666666670,0.9529085872576180,0.46792353385550000
28,350270505000029,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),8,0,0.7833333333333330,0.9378103378103380,0.4615389756249970
29,350270505000030,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),8,0,0.8666666666666670,0.8977777777777780,0.42136157642968900
30,350270505000031,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),8,0,0.7166666666666670,0.9299229922992300,0.4453285403231030
31,350270505000032,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),8,0,,,
32,350270505000033,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),8,0,0.6833333333333330,0.967741935483871,0.4103026706434930
33,350270505000034,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),8,0,0.9,0.9590643274853800,0.4563644220587170
34,350270505000035,3,Região Sudeste,SP,São Paulo,3511,Itapetininga,35044,Capão Bonito,0,Municípios não pertencentes a estrutura de RM,3502705,APIAÍ,350270505,APIAÍ,35027050500,APIAÍ,3502705000,APIAÍ (todos os setores),8,0,0.8833333333333330,0.9630883895944140,0.4985361739127160
